mall_name,lat,lon
Parkway Parade,1.30106068019409,103.905339493587
Paya Lebar Square,1.31881486980278,103.892580778242
Paya Lebar Quarter (PLQ),1.31756115921,103.892836694432
Roxy Square,1.30432599904899,103.904051120306
Singpost Centre,1.31893132637472,103.894482925602
Tampines 1,1.35431556516976,103.945019456113
Tampines Mall,1.35267232210231,103.944387981063
White Sands,1.37234519149636,103.949805421214
City Plaza,1.31480226743889,103.893477464106
Elias Mall,1.37782876616465,103.942364336974
Loyang Point,1.36645364037722,103.964598499523
888 Plaza,1.43711856085535,103.795316064775
Admiralty Place,1.44042008562425,103.801541769047
AMK Hub,1.36922522142582,103.848493192474
Canberra Plaza,1.44349544527985,103.830345369213
Causeway Point,1.43622867995805,103.786349823084
Woodlands Civic Centre,1.43515024446739,103.786816106255
Broadway Plaza,1.37193729131781,103.845949444498
Djitsun Mall,1.32611970329469,103.929554495615
Jubilee Square,1.37178558575829,103.847837565378
Junction 8,1.3501820033849,103.848515664081
Junction Nine,1.4331228398318,103.84166098599
Marsiling Mall,1.43354318137534,103.77988189197
Northpoint City,1.42790288991304,103.836177650973
Sembawang Shopping Centre,1.44185307934021,103.824970378482
Sun Plaza,1.44819436804175,103.819464386349
Vista Point,1.4308011390122,103.794104795966
Wisteria Mall,1.41798969122298,103.841317292608
Woodlands Mart,1.44564787003157,103.798162285805
Woodlands North Plaza,1.44285548185504,103.790965090129
Waterway Point,1.40637933605759,103.902172248289
Compass One,1.39205314156706,103.89507054384
Hougang Mall,1.37248308734511,103.893788141349
Heartland Mall,1.35954177325561,103.885167372726
NEX,1.35076935257845,103.872296143862
Buangkok Square,1.38433426615655,103.881623070164
Greenwich V,1.38736769500018,103.869348049282
Hougang 1,1.37561464129476,103.879483534695
Hougang Green Shopping Mall,1.37931783499145,103.88784708944
Hougang Rivercourt,1.36220591877146,103.894742116488
myVillage At Serangoon Garden,1.36511490572797,103.865159501442
Northshore Plaza,1.41676127156324,103.902074379502
Oasis Terraces,1.40282352005409,103.91346139614
Punggol Plaza,1.39425629780831,103.913043510411
Rivervale Mall,1.39221732695142,103.904473070943
Rivervale Plaza,1.38544833801428,103.901925969477
The Seletar Mall,1.39147015374628,103.876125507257
Upper Serangoon Shopping Centre,1.35348082277147,103.878828134896
Beauty World Centre,1.34241264188642,103.776539385406
Beauty World Plaza,1.34180018619223,103.776259359854
Bukit Panjang Plaza,1.37988291404114,103.764377765935
Bukit Timah Plaza,1.33875930729064,103.778600077834
Fajar Shopping Centre,1.383601112147,103.77094013941
Greenridge Shopping Centre,1.38540569310644,103.766228468185
Hillion Mall,1.37848224932124,103.763672842754
HillV2,1.36267450828024,103.76417292006
Junction 10,1.38018163022688,103.76041930548
Keat Hong Shopping Centre,1.37736607441394,103.744393648768
Limbang Shopping Centre,1.3920738867617,103.743099573442
Lot One,1.38506992325619,103.745238868238
Rail Mall,1.35773050150178,103.768137724847
Sunshine Place,1.37789727709418,103.739015486021
Teck Whye Shopping Centre,1.38004752975397,103.752483841199
West Mall,1.35037541626109,103.74912389291
Yew Tee Point,1.39705741516141,103.746662121143
Yew Tee Square,1.39804736098268,103.74708477866
321 Clementi,1.31200212030821,103.764986676365
The Clementi Mall,1.31489619639366,103.764423054189
IMM,1.33487526118006,103.746894773008
JCube,1.33332312550425,103.740187071348
Jem,1.33305999269581,103.743503708169
Westgate,1.33415767556867,103.742766484424
Jurong Point,1.33945200436319,103.706685012654
Pioneer Mall,1.34174316145003,103.697286174545
The Star Vista,1.30681500712523,103.788462732266
Alexandra Central,1.28728320930592,103.805283367958
Anchorpoint,1.28893477974497,103.805607779399
OD Mall,1.33899462947416,103.793133804579
Boon Lay Shopping Centre,1.34637376407877,103.712472819666
Grantral Mall,1.31427043922294,103.765147487482
Fairprice Hub,1.32561767765205,103.678409741897
Gek Poh Shopping Centre,1.3487416466288,103.697739629738
Rochester Mall,1.30540765569962,103.788446680148
Taman Jurong Shopping Centre,1.33484487471259,103.720462024278
West Coast Plaza,1.30381811396596,103.766266410545
Queensway Shopping Centre,1.28761792586115,103.803391140455
